roomID;acc_rating;bed_type;cancel_policy;checkin_rating;cleanliness_rating;communication_rating;guest_sat;hosting_id;instant_book;is_superhost;loc_rating;lat;lon;page;person_cap;pic_count;room_type;saved_to_wishlist_count;value_rating;rev_count;price;star_rating;amen1;amen2;amen3;amen4;amen5;amen6;amen7;amen8;amen9;amen10;amen11;amen12;amen13;amen14;amen15;amen16;amen17;amen18;amen19;amen20;amen21;amen22;amen23;amen24;amen25;amen26;amen27;amen28;amen29;amen30;amen31;amen32;amen33;amen34;amen35;amen36;amen37;amen38;amen39;amen40;amen41;amen42;amen43;amen44;amen45;amen46;amen47;amen48;amen49;amen50
16478978;10;Real Bed;4;10;10;10;100;16478978;False;False;10;37.783688060498385;-122.46257326882598;p3;2;10;Private room;91;10;7;45.0;5;True;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;False;False;False;True;False;False;False;True;True;True;True;False;True;False
4654218;10;Real Bed;4;10;10;10;98;4654218;False;True;9;37.72593023037014;-122.43337188134396;p3;2;22;Private room;375;10;45;39.0;5;True;True;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;False;True;True
4295573;10;Real Bed;5;10;10;10;99;4295573;False;True;9;37.72424110040259;-122.43389757902229;p3;1;5;Private room;257;10;41;49.0;5;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;True;True;True;True;True;True;True;True;True;True;True;True;False;True;True
9558826;10;Real Bed;5;8;8;9;90;9558826;True;False;9;37.718974874347595;-122.42656109451302;p3;2;8;Private room;178;10;8;45.0;4.5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;True;False;True;False;False;False;True;True;False;False;False;False;True;True
5650515;10;Futon;5;10;10;9;90;5650515;False;False;10;37.73591156729537;-122.46461440397232;p3;1;14;Private room;745;10;44;33.0;4.5;False;False;True;True;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;True;True;True;False;False;False;False;False;False;False;False;True;True
10075799;10;Real Bed;4;10;8;10;100;10075799;True;False;10;37.71680370712557;-122.428576623739;p3;2;11;Private room;50;10;4;46.0;5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;False;False;False;True;False;False;False;False;True;True;False;False;False;False
15328406;10;Real Bed;5;9;10;7;80;15328406;True;False;10;37.7704676693974;-122.43228321278619;p3;2;8;Private room;78;9;4;41.0;4;True;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;False;False;True;True;True;True;True;True;True;True;True;False;True;True
4902729;9;Real Bed;4;10;9;10;89;4902729;True;False;8;37.78468410132785;-122.41481199457196;p3;2;4;Private room;614;9;91;49.0;4.5;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;True;False;True;False;False;True;True;False;True;True;True;True;False;False;False
11575586;10;Real Bed;4;10;10;10;94;11575586;False;False;9;37.727124451015705;-122.42956445479908;p3;1;5;Private room;236;10;37;40.0;4.5;True;False;True;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;False;False;True;False;True;False;False;True;True;False;False;False;True;True
15194192;10;Real Bed;4;10;10;10;100;15194192;True;False;9;37.709486074491075;-122.4469326440391;p3;2;18;Private room;132;10;15;45.0;5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;True;True;False;True;True;False;False;True;True;True;False;True;True;False;True;False;True;True
15026204;10;Real Bed;5;10;9;10;96;15026204;False;False;10;37.71633417595662;-122.47313908417503;p3;1;11;Private room;49;10;6;32.0;5;False;False;True;True;True;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;True;False;False;True;False;False;True;True;True;True;False;True;True;True;True;False;False;True;True;True;True;False;True;True
14352713;9;Real Bed;5;10;8;10;86;14352713;True;False;9;37.72965772332802;-122.41275467592332;p3;2;8;Private room;211;9;20;43.0;4.5;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
5976428;9;Real Bed;5;9;8;10;78;5976428;False;False;7;37.73528506705987;-122.38814498405837;p3;2;5;Private room;366;8;60;39.0;4;True;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;True;False;True;True;True;False;False;False;False;False;False;False;False;False;False
15391873;9;Real Bed;3;10;9;10;96;15391873;True;False;10;37.753419811209305;-122.5079304433161;p3;1;20;Private room;142;9;11;63.0;5;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;True;True;True;True;False;False;True;True;True;False;False;False;True;True;True;False;True;True
1093088;10;Real Bed;3;10;10;10;96;1093088;False;True;10;37.76777714069825;-122.42433816649047;p3;1;17;Private room;3956;10;146;68.0;5;False;False;True;True;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;True;True;False;False;True;True;True;False;False;True;True
16497229;10;Real Bed;3;10;10;10;100;16497229;False;False;10;37.80486903612492;-122.41377248218637;p3;2;6;Private room;84;10;4;67.0;5;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True
2704229;10;Real Bed;4;10;10;10;98;2704229;False;True;9;37.767712194319095;-122.41836915352283;p3;2;5;Private room;165;10;26;66.0;5;True;True;True;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;True;True;True;True;True;True;True;False;True;True;True;True;False;False;False
13138137;9;Real Bed;4;9;9;9;87;13138137;False;False;8;37.735955911590516;-122.38883819247256;p3;1;13;Private room;122;9;31;61.0;4.5;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;True;True
15772118;10;Real Bed;3;10;10;9;100;15772118;False;False;10;37.755155194284434;-122.42121440845453;p3;2;5;Private room;43;10;5;70.0;5;True;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;False;False;True;True;True;False;False;True;True;True;False;False;True;True
9473338;10;Real Bed;3;10;10;10;99;9473338;False;True;10;37.76721709777691;-122.45010839588527;p3;1;10;Private room;290;10;54;60.0;5;True;False;False;True;False;False;False;True;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;True;True;False;True;True;True;False;False;True;False;True;True;False;True;True
1633225;9;Real Bed;5;10;9;9;91;1633225;False;False;9;37.72545412772756;-122.41889091197282;p3;2;36;Private room;241;9;16;59.0;4.5;True;True;True;True;False;False;False;True;False;False;False;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;True;False;False;True;True;False;True;True;True;True;True;False;True;True;True;False;True;True;False;True;True;False;False;False
16322899;9;Real Bed;3;10;7;10;92;16322899;False;False;10;37.805876430250116;-122.40910944593224;p3;2;4;Private room;58;9;6;65.0;4.5;True;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;False;False;False;True;False;False;False;True;True;True;False;False;True;True
16113122;9;Real Bed;3;10;7;10;87;16113122;False;False;10;37.797845369076526;-122.43782285426718;p3;2;6;Private room;149;9;3;70.0;4.5;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;True
15287084;9;Real Bed;3;9;10;10;97;15287084;False;False;10;37.77366897605788;-122.43563870863031;p3;1;11;Private room;110;10;13;60.0;5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;True
12405624;10;Real Bed;4;10;10;10;97;12405624;False;True;9;37.78500285536229;-122.41620150428376;p3;1;19;Private room;170;10;55;66.0;5;True;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;False;False;True;True;True;False;True;True;True;False;False;False;True;True
12657607;10;Real Bed;5;10;9;10;94;12657607;False;False;9;37.74316217375228;-122.49879848126386;p3;2;13;Private room;414;9;47;67.0;4.5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;True;False;True;False;True;False;False;True;False;False;False;False;True;True
15957963;9;Real Bed;3;10;9;10;88;15957963;True;False;10;37.78894877309664;-122.40479974432856;p3;2;4;Private room;55;10;5;59.0;4.5;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;True;False;True;True;True;False;True;False;True;True;True;True;False;True;True;True;True;False;False;False
8356380;10;Real Bed;4;10;10;10;99;8356380;False;True;9;37.711701892637436;-122.43451453432924;p3;2;16;Private room;1908;10;136;95.0;5;True;False;True;True;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;True;False;True;True;True;True;False;True;True;True;True;False;True;False
6080799;10;Real Bed;5;10;9;10;96;6080799;False;True;10;37.74671336114941;-122.50667923943797;p3;2;26;Private room;453;9;15;95.0;5;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;False;False;False;True;True;True;False;True;True;True;True;False;False;True
12026856;10;Real Bed;3;10;10;10;93;12026856;True;False;10;37.74538810648193;-122.43045950466845;p3;2;6;Private room;912;10;85;85.0;4.5;False;False;True;True;False;False;False;True;False;False;False;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False
8088720;10;Real Bed;4;10;10;10;96;8088720;True;True;10;37.768514338689585;-122.43724827192013;p3;2;9;Private room;615;10;67;95.0;5;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;True;False;True;True;True;True;True;True;True;True;False;False;False;True
16245090;10;Real Bed;4;10;10;10;100;16245090;False;False;10;37.763156496381725;-122.4082978205472;p3;2;9;Private room;34;9;3;100.0;5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;True;False;False;True;True;True;True;False;True;True;True;False;True;True
15903424;10;Real Bed;4;10;10;10;100;15903424;True;False;10;37.744790552344;-122.48813604052751;p3;2;13;Private room;79;10;7;89.0;5;True;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;True;True;True;False;False;True;True;False;True;False;False;True
