room_id;acc_rating;bed_type;cancel_policy;checkin_rating;cleanliness_rating;communication_rating;guest_sat;hosting_id;instant_book;is_superhost;loc_rating;lat;lon;page;person_cap;pic_count;room_type;saved_to_wishlist_count;value_rating;rev_count;price;star_rating;amen_1;amen_2;amen_3;amen_4;amen_5;amen_6;amen_7;amen_8;amen_9;amen_10;amen_11;amen_12;amen_13;amen_14;amen_15;amen_16;amen_17;amen_18;amen_19;amen_20;amen_21;amen_22;amen_23;amen_24;amen_25;amen_26;amen_27;amen_28;amen_29;amen_30;amen_31;amen_32;amen_33;amen_34;amen_35;amen_36;amen_37;amen_38;amen_39;amen_40;amen_41;amen_42;amen_43;amen_44;amen_45;amen_46;amen_47;amen_48;amen_49;amen_50
16536186;10;Futon;3;10;10;10;100;16536186;False;True;10;37.761223716963016;-122.48384919933142;p3;2;7;Private room;37;10;1;38.0;0;True;False;False;True;False;False;False;True;True;False;False;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;True;True;True;True;False;True;False;False;True;True;False;False;False;True;False;True;False;True;True
5650515;10;Futon;5;10;10;9;90;5650515;False;False;10;37.73591156729537;-122.46461440397232;p3;1;14;Private room;745;10;44;33.0;4.5;False;False;True;True;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;True;True;True;False;False;False;False;False;False;False;False;True;True
4654218;10;Real Bed;4;10;10;10;98;4654218;False;True;9;37.72593023037014;-122.43337188134396;p3;2;22;Private room;376;10;45;39.0;5;True;True;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;False;True;True
15026204;10;Real Bed;5;10;9;10;96;15026204;False;False;10;37.71633417595662;-122.47313908417503;p3;1;11;Private room;49;10;6;32.0;5;False;False;True;True;True;False;False;True;True;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;True;False;False;True;False;False;True;True;True;True;False;True;True;True;True;False;False;True;True;True;True;False;True;True
11575586;10;Real Bed;4;10;10;10;94;11575586;False;False;9;37.727124451015705;-122.42956445479908;p3;1;5;Private room;236;10;37;40.0;4.5;True;False;True;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;False;False;True;False;True;False;False;True;True;False;False;False;True;True
16709668;;Real Bed;3;;;;;16709668;True;False;;37.78141725542508;-122.47855627769451;p3;1;2;Private room;1;;0;40.0;0;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;True;False;True;True;False;True;False;True;True
11620;9;Real Bed;4;9;8;10;92;11620;False;False;9;37.71793836944223;-122.4085793352181;p3;1;19;Private room;89;9;44;35.0;4.5;False;False;True;True;False;False;False;True;True;False;False;False;True;False;False;True;True;False;True;False;False;False;False;False;False;False;True;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
16291030;;Real Bed;3;;;;;16291030;True;False;;37.76051972027442;-122.46670743183336;p3;1;5;Private room;12;;0;40.0;0;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;False;False;False;True;True;False;False;False;True;False;False;False;True;True
5976428;9;Real Bed;5;9;8;10;78;5976428;False;False;7;37.73528506705987;-122.38814498405837;p3;2;5;Private room;366;8;60;39.0;4;True;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;True;False;True;True;True;False;False;False;False;False;False;False;False;False;False
15097577;9;Real Bed;5;9;9;9;83;15097577;False;False;8;37.755457620657204;-122.49281100460813;p3;1;15;Private room;36;8;12;39.0;4;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;True;True;True;True;True;True;False;True;True;True;True;True;False;True;True
2126868;9;Real Bed;5;10;9;10;92;2126868;False;False;9;37.733765804504934;-122.46429039724381;p3;1;19;Private room;801;9;85;40.0;4.5;False;False;True;True;False;False;False;True;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;False;True;True;False;False;False;False;False;False;False;False;True;True
16348162;;Real Bed;3;;;;;16348162;False;False;;37.76491224617005;-122.48698486664543;p3;1;7;Private room;11;;0;40.0;0;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;True;False;False;False;True;False;False;False;False;True;True
14268636;10;Real Bed;4;10;10;10;99;14268636;False;True;9;37.72477986719682;-122.4319483155021;p3;2;19;Private room;102;10;17;39.0;5;True;True;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;False;True;True
8408931;;Couch;3;;;;;8408931;False;False;;37.79315633421722;-122.40585702680936;p3;1;13;Private room;70;;0;19.0;0;False;False;False;True;True;False;False;True;False;False;False;False;False;True;False;True;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False
6387137;8;Real Bed;5;9;8;10;75;6387137;False;False;7;37.736553067071235;-122.38983570029777;p3;2;4;Private room;366;8;63;39.0;4;True;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;True;False;True;True;True;False;False;False;False;False;False;False;False;False;False
13467547;;Real Bed;4;;;;;13467547;False;False;;37.71592053043671;-122.48390475673963;p3;1;6;Private room;38;;0;22.0;0;False;False;False;True;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;False;False;False;False;True;False;False;True;False;False;False;False;True;True
12203625;;Real Bed;5;;;;;12203625;True;False;;37.78554866395385;-122.46300015894728;p3;1;12;Private room;10;;0;39.0;0;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;True;False;True;False
16857004;;Real Bed;3;;;;;16857004;False;False;;37.75328433021465;-122.41185789807965;p3;1;5;Private room;0;;0;40.0;0;True;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;True;True;True;True;True;False;True;True;False;False;False;True;True;True;False;False;True;True
8408841;;Airbed;3;;;;;8408841;False;False;;37.79321770557117;-122.40538312776411;p3;1;17;Private room;42;;0;22.0;0;False;False;True;False;True;False;False;True;False;False;False;False;False;False;False;True;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False
4932734;;Real Bed;3;;;;;4932734;False;False;;37.715986641414176;-122.47392608195445;p3;1;18;Private room;39;;1;40.0;0;False;False;True;True;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False
11611392;;Real Bed;3;;;;;11611392;False;False;;37.71411419911928;-122.4662205265977;p3;1;1;Private room;14;;0;34.0;0;True;False;True;True;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;True;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False
9033827;9;Real Bed;3;9;8;10;87;9033827;True;False;10;37.72580704841174;-122.40380262115676;p3;1;17;Private room;106;9;3;40.0;4.5;True;False;True;True;True;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;False;False;False;True;True;True;False;True;True;True;True;False;False;False
12551557;8;Real Bed;4;10;7;10;80;12551557;False;False;7;37.70846560995886;-122.45770164095075;p3;2;6;Private room;122;8;10;39.0;4;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;True;True;True;True;False;False;False;True;True;True;True;True;True;False;True;False;False;False
15706101;10;Real Bed;4;10;10;10;100;15706101;False;False;10;37.81154023078087;-122.22937425473518;p3;2;9;Private room;36;10;4;38.0;5;True;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;False;True;True
16125356;10;Real Bed;3;10;9;10;100;16125356;False;False;9;37.815869560538935;-122.25712753530456;p3;1;16;Private room;22;10;3;35.0;5;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;True;True;False;False;False;False;False;False;False;False;True;True
15801360;10;Real Bed;3;10;10;10;100;15801360;False;False;10;37.78722630901281;-122.19568786000403;p3;1;3;Private room;33;10;10;39.0;5;True;True;True;True;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;True;True;True;True;True;True;True;True;True;False;False;True;True
8860519;10;Real Bed;3;10;10;10;99;8860519;False;True;9;37.735205352535104;-122.13148135320124;p3;2;7;Private room;75;10;25;32.0;5;True;False;True;True;False;False;False;True;True;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;True;False;False;True;True;False;True;True;True;False;False;False;False;True;True;False;True;False;False;False;False;False;False;False
2601171;10;Real Bed;5;10;10;10;97;2601171;True;True;9;37.807287063748134;-122.28864562684969;p3;2;7;Private room;1142;10;276;39.0;5;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;True;True;True;True;True;True;True;True;False;False;False;False;False;False;False;True;True
